time,X,Y,Vx,Vy,Ax,Ay
0.01667,1.031614E-08,-0.2218676,6.188446E-07,-13.3094,3.712325E-05,0
0.01667,3.633E+08,18.03694,-5.030955E-05,1082,-0.00301797,-1.843077E-12
0.01667,3.5786E+07,55.61627,-0.005184312,3336.309,-0.3109965,-1.925898E-09
0.1426074,6.770351E-07,-1.898018,5.29405E-06,-13.3094,3.712325E-05,1.865748E-12
0.1426074,3.633E+08,154.3012,-0.0004303848,1082,-0.00301797,-1.656017E-10
0.1426074,3.5786E+07,475.7823,-0.04435041,3336.309,-0.3109965,-4.998848E-07
0.1602353,7.818938E-07,-2.132635,5.948456E-06,-13.3094,3.712325E-05,1.596098E-11
0.1602353,3.633E+08,173.3746,-0.0004835853,1082,-0.00301797,-1.299512E-09
0.1602353,3.5786E+07,534.5945,-0.04983262,3336.309,-0.3109965,-4.15395E-06
0.1776683,8.968754E-07,-2.364658,6.595625E-06,-13.3094,3.712325E-05,1.793394E-11
0.1776683,3.633E+08,192.2371,-0.0005361975,1082,-0.00301797,-1.459884E-09
0.1776683,3.5786E+07,592.7563,-0.05525422,3336.309,-0.3109965,-4.667151E-06
0.1951159,1.023254E-06,-2.596875,7.243337E-06,-13.3094,3.712325E-05,1.988508E-11
0.1951159,3.633E+08,211.1154,-0.0005888538,1082,-0.00301797,-1.618505E-09
0.1951159,3.5786E+07,650.9669,-0.06068037,3336.309,-0.3109965,-5.174702E-06
0.2123227,1.15888E-06,-2.825887,7.882109E-06,-13.3094,3.712325E-05,2.183786E-11
0.2123227,3.633E+08,229.7332,-0.0006407835,1082,-0.00301797,-1.777232E-09
0.2123227,3.5786E+07,708.3741,-0.06603162,3336.309,-0.3109965,-5.682648E-06
0.2293496,1.303851E-06,-3.052505,8.514204E-06,-13.3094,3.712325E-05,2.376369E-11
0.2293496,3.633E+08,248.1563,-0.0006921701,1082,-0.00301797,-1.933774E-09
0.2293496,3.5786E+07,765.1812,-0.07132693,3336.309,-0.3109965,-6.183592E-06
0.2463014,1.45885E-06,-3.278123,9.143509E-06,-13.3094,3.712325E-05,2.566938E-11
0.2463014,3.633E+08,266.4981,-0.0007433301,1082,-0.00301797,-2.088691E-09
0.2463014,3.5786E+07,821.7376,-0.07659888,3336.309,-0.3109965,-6.67931E-06
0.2635814,1.627934E-06,-3.508109,9.784999E-06,-13.3094,3.712325E-05,2.756667E-11
0.2635814,3.633E+08,285.1951,-0.0007954806,1082,-0.00301797,-2.242969E-09
0.2635814,3.5786E+07,879.389,-0.0819729,3336.309,-0.3109965,-7.172887E-06
0.2808848,1.808363E-06,-3.738407,1.042736E-05,-13.3094,3.712325E-05,2.950069E-11
0.2808848,3.633E+08,303.9174,-0.0008477017,1082,-0.00301797,-2.4002E-09
0.2808848,3.5786E+07,937.1185,-0.0873542,3336.309,-0.3109965,-7.675984E-06
0.2980342,1.998104E-06,-3.966655,1.1064E-05,-13.3094,3.712325E-05,3.143733E-11
0.2980342,3.633E+08,322.4731,-0.0008994581,1082,-0.00301797,-2.557624E-09
0.2980342,3.5786E+07,994.3342,-0.0926876,3336.309,-0.3109965,-8.179743E-06
0.3151775,2.198688E-06,-4.194822,1.170041E-05,-13.3094,3.712325E-05,3.335674E-11
0.3151775,3.633E+08,341.0221,-0.0009511961,1082,-0.00301797,-2.713663E-09
0.3151775,3.5786E+07,1051.53,-0.09801911,3336.309,-0.3109965,-8.679035E-06
0.3322563,2.409345E-06,-4.422131,1.233444E-05,-13.3094,3.712325E-05,3.527546E-11
0.3322563,3.633E+08,359.5013,-0.001002739,1082,-0.00301797,-2.86964E-09
0.3322563,3.5786E+07,1108.51,-0.1033306,3336.309,-0.3109965,-9.178142E-06
0.3532635,2.68484E-06,-4.701724,1.311429E-05,-13.3094,3.712325E-05,3.718695E-11
